Unnamed: 0,iso3,country,hdicode,hdi_rank_2022,gii_rank_2022,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,gender_inequality,secondary_education_f_%,secondary_education_m_%,seats_in_parliament_f_%,seats_in_parliament_m_%,labour_participation_f_%,labour_participation_m_%,co2_emission_tons,mat_footprint_percap_tons
5445,ESP,Spain,Very High,27.0,15.0,2022,0.911,83.912,47.5586295,0.901995576,0.913042885,86.549,81.2,17.80905914,18.43926048,17.20244026,10.60540009,10.52787018,10.68844986,40043.33773,32834.64684,47542.89462,0.988,0.059,78.534729,83.16280365,41.36807818,58.63192182,53.19,62.86,4.849112709,13.2792
5478,LKA,Sri Lanka,High,78.0,90.0,2022,0.78,76.61,21.832143,0.750765016,0.792700012,80.23,72.851,13.64182201,14.11550272,13.18408462,11.24960995,11.12806034,11.38661957,11899.49847,6241.114077,17989.8154,0.947,0.376,80.6453476,83.28645325,5.333333333,94.66666667,29.68,70.69,0.924001861,4.9743
5511,SDN,Sudan,Low,170.0,140.0,2022,0.516,65.578,46.874204,0.472282386,0.543959635,68.184,63.048,8.501687381,8.280140314,8.723298593,3.87,3.5,4.23,3514.765869,1750.002217,5282.106061,0.868,0.548,17.0,20.4,31.04166667,68.95833333,28.04,69.07,0.485910197,4.2923
5544,SUR,Suriname,Medium,124.0,100.0,2022,0.69,70.289,0.6180405,0.68338723,0.692380914,73.577,67.189,10.95909977,11.33802032,10.58965015,8.388631804,8.558285912,8.20187956,12309.99659,8820.008976,15831.64226,0.987,0.405,45.46498871,42.28636169,29.41176471,70.58823529,42.3,61.69,6.007651084,
5577,SWE,Sweden,Very High,5.0,4.0,2022,0.952,83.505,10.549347,0.940947399,0.957393264,85.092,81.902,19.03676987,20.65983009,17.5142498,12.67372015,12.84683271,12.49767169,56995.84796,47827.87972,66019.1684,0.983,0.023,92.36278933,92.70197297,46.41833811,53.58166189,63.68,70.38,3.680562051,26.6793
5610,CHE,Switzerland,Very High,1.0,3.0,2022,0.967,84.255,8.740472,0.949369073,0.977382747,85.932,82.484,16.5837307,16.67786026,16.49819946,13.90406622,13.5494734,14.2685357,69432.78669,56927.80503,82109.4843,0.971,0.018,96.93972611,97.5174373,39.02439024,60.97560976,61.49,71.94,4.117550141,33.5913
5643,SYR,Syrian Arab Republic,Medium,157.0,123.0,2022,0.557,72.3,22.1252485,0.480880713,0.597196215,76.117,68.671,7.418754527,7.170177367,7.667331688,5.736797587,5.417379107,6.664290294,3594.10679,1048.66503,6132.19446,0.805,0.487,24.05722504,31.98297212,11.2,88.8,14.43,68.9,1.276342693,
5676,TJK,Tajikistan,Medium,126.0,67.0,2022,0.679,71.288,9.952787,0.646830216,0.704031627,73.518,69.189,10.86102637,10.43384543,11.27416828,11.28955089,10.89829118,11.64002201,4807.213923,3294.847257,6300.051626,0.919,0.269,93.57733366,94.01243126,26.59574468,73.40425532,33.31,52.09,1.02362405,4.4108
5709,TZA,Tanzania (United Republic of),Low,167.0,131.0,2022,0.532,66.782,65.497748,0.516106183,0.548772873,68.93,64.72,8.585740089,8.723759651,8.450329781,5.639967963,5.104927611,6.280633125,2578.156006,2194.923507,2970.337277,0.94,0.513,9.29535266,14.31607304,36.8556701,63.1443299,75.5,84.52,0.24245485,3.4043
5742,THA,Thailand,Very High,66.0,74.0,2022,0.803,79.68,71.6970295,0.807009612,0.798492422,83.929,75.473,15.58131027,15.88201046,15.29454041,8.834560711,8.724169622,8.952895873,16886.51113,15289.05253,18579.65531,1.011,0.31,49.31797153,53.02398051,13.97557666,86.02442334,59.86,75.96,3.732051446,11.7813
5775,TLS,Timor-Leste,Medium,155.0,103.0,2022,0.566,69.056,1.341296,0.534121006,0.590660294,70.815,67.435,13.24177562,13.4255446,13.07257379,6.020059751,5.50932282,6.620224056,1629.160441,1145.36569,2094.126343,0.904,0.415,33.4715131,39.79870998,40.0,60.0,27.91,41.38,0.502444468,
